entry	function	pc	op	expression
0000c0	FUN_0000c0	0000c4	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(register:000c:2:short),CONST(0xa9de,2))))
0000c0	FUN_0000c0	0000ca	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(register:000c:2:short),CONST(0xa9cc,2))))
0000c0	FUN_0000c0	0000d2	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(register:0006:2:short),CONST(0x2,2))))
0000c0	FUN_0000c0	0001ac	LOAD	SEGMENTOP(CONST(0x11999a5c210,8),CONST(0x0,2),LEAF(register:0002:2:char *))
0000c0	FUN_0000c0	000284	LOAD	CAST(INT_ZEXT(INT_ADD(INT_RIGHT(LEAF(register:0008:2:ushort),CONST(0x8,2)),CONST(0xaa26,2))))
0000c0	FUN_0000c0	004262	LOAD	CAST(INT_ZEXT(INT_ADD(INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(MULTIEQUAL(LEAF(00e73c:2:short),LEAF(00e73c:2:short)),CONST(0xc01,4)),CONST(0xc1d,4)),LEAF(00e73c:2:short)),CONST(0xc6c,4)),INT_ZEXT(INT_ADD(SUBPIECE(MULTIEQUAL(INT_ZEXT(CAST(INT_ADD(LEAF(register:0008:1:char),CONST(0x2,1)))),LEAF(register:001c:2:ushort)),CONST(0x0,2)),CONST(0x1,1))))))
0000c0	FUN_0000c0	004274	LOAD	CAST(INT_ZEXT(INT_ADD(INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(MULTIEQUAL(LEAF(00e73c:2:short),LEAF(00e73c:2:short)),CONST(0xc01,4)),CONST(0xc1d,4)),LEAF(00e73c:2:short)),CONST(0xc6c,4)),INT_ZEXT(CAST(INT_ADD(SUBPIECE(MULTIEQUAL(LEAF(register:000a:2:ushort),LEAF(register:001c:2:ushort)),CONST(0x0,2)),CONST(0x2,1)))))))
0000c0	FUN_0000c0	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0000c0	FUN_0000c0	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0000c0	FUN_0000c0	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0000c0	FUN_0000c0	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0000c0	FUN_0000c0	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(MULTIEQUAL(LEAF(register:0018:2:ushort),LEAF(register:0018:2:ushort)),CONST(0x2,2))),LEAF(register:0018:2:ushort),LEAF(register:0018:2:ushort))))
0000c0	FUN_0000c0	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(MULTIEQUAL(LEAF(register:0018:2:ushort),LEAF(register:0018:2:ushort)),CONST(0x2,2))),LEAF(register:0018:2:ushort),LEAF(register:0018:2:ushort))))
0006ec	FUN_0006ec	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x359,4)),CONST(0x375,4)),LEAF(00e73c:2:short)),CONST(0x3c4,4)),LEAF(00e73c:2:short)),INT_ZEXT(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)),LEAF(register:001c:1:byte))))))
0006ec	FUN_0006ec	004264	STORE	CAST(MULTIEQUAL(CAST(PIECE(SUBPIECE(INT_RIGHT(CAST(PTRSUB(LEAF(register:0000:2:void *),CONST(0x0,2))),CONST(0x8,4)),CONST(0x0,4)),CONST(0x3c,1))),LEAF(register:0000:2:void *),LEAF(register:0000:2:void *)))
0006ec	FUN_0006ec	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x359,4)),CONST(0x375,4)),LEAF(00e73c:2:short)),CONST(0x3c4,4)),LEAF(00e73c:2:short)),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)),LEAF(register:001c:1:byte)),CONST(0x1,1)))))))
0006ec	FUN_0006ec	004276	STORE	CAST(INT_ADD(CAST(MULTIEQUAL(CAST(PIECE(SUBPIECE(INT_RIGHT(CAST(PTRSUB(LEAF(register:0000:2:void *),CONST(0x0,2))),CONST(0x8,4)),CONST(0x0,4)),CONST(0x3c,1))),LEAF(register:0000:2:void *),LEAF(register:0000:2:void *))),CONST(0x1,2)))
0006ec	FUN_0006ec	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0006ec	FUN_0006ec	004280	LOAD	CAST(MULTIEQUAL(CAST(PIECE(SUBPIECE(INT_RIGHT(CAST(PTRSUB(LEAF(register:0000:2:void *),CONST(0x0,2))),CONST(0x8,4)),CONST(0x0,4)),CONST(0x3c,1))),LEAF(register:0000:2:void *),LEAF(register:0000:2:void *)))
0006ec	FUN_0006ec	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0006ec	FUN_0006ec	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
