entry	function	pc	op	expression
0006ec	FUN_0006ec	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0006ec	FUN_0006ec	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
0006ec	FUN_0006ec	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000720	FUN_000720	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x32b,4)),CONST(0x347,4)),LEAF(00e73c:2:short)),CONST(0x396,4))),INT_ZEXT(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)))))))
000720	FUN_000720	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x32b,4)),CONST(0x347,4)),LEAF(00e73c:2:short)),CONST(0x396,4))),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1))),CONST(0x1,1)))))))
000720	FUN_000720	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000720	FUN_000720	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000720	FUN_000720	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000720	FUN_000720	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000720	FUN_000720	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000720	FUN_000720	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a24	FUN_000a24	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x313,4)),CONST(0x32f,4)),LEAF(00e73c:2:short)),CONST(0x37e,4)),LEAF(00e73c:2:short)),INT_ZEXT(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)),LEAF(register:001c:1:byte))))))
000a24	FUN_000a24	004264	STORE	CAST(MULTIEQUAL(CAST(PIECE(SUBPIECE(INT_RIGHT(CAST(PTRSUB(LEAF(register:0000:2:void *),CONST(0x0,2))),CONST(0x8,4)),CONST(0x0,4)),CONST(0x74,1))),LEAF(register:0000:2:void *),LEAF(register:0000:2:void *)))
000a24	FUN_000a24	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x313,4)),CONST(0x32f,4)),LEAF(00e73c:2:short)),CONST(0x37e,4)),LEAF(00e73c:2:short)),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)),LEAF(register:001c:1:byte)),CONST(0x1,1)))))))
000a24	FUN_000a24	004276	STORE	CAST(INT_ADD(CAST(MULTIEQUAL(CAST(PIECE(SUBPIECE(INT_RIGHT(CAST(PTRSUB(LEAF(register:0000:2:void *),CONST(0x0,2))),CONST(0x8,4)),CONST(0x0,4)),CONST(0x74,1))),LEAF(register:0000:2:void *),LEAF(register:0000:2:void *))),CONST(0x1,2)))
000a24	FUN_000a24	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000a24	FUN_000a24	004280	LOAD	CAST(MULTIEQUAL(CAST(PIECE(SUBPIECE(INT_RIGHT(CAST(PTRSUB(LEAF(register:0000:2:void *),CONST(0x0,2))),CONST(0x8,4)),CONST(0x0,4)),CONST(0x74,1))),LEAF(register:0000:2:void *),LEAF(register:0000:2:void *)))
000a24	FUN_000a24	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000a24	FUN_000a24	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000a24	FUN_000a24	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000a24	FUN_000a24	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000a24	FUN_000a24	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000a60	FUN_000a60	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x302,4)),CONST(0x31e,4)),LEAF(00e73c:2:short)),CONST(0x36d,4))),INT_ZEXT(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)))))))
000a60	FUN_000a60	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x302,4)),CONST(0x31e,4)),LEAF(00e73c:2:short)),CONST(0x36d,4))),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1))),CONST(0x1,1)))))))
000a60	FUN_000a60	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a60	FUN_000a60	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a60	FUN_000a60	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a60	FUN_000a60	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a60	FUN_000a60	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a60	FUN_000a60	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a70	FUN_000a70	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x281,4)),CONST(0x29d,4)),LEAF(00e73c:2:short)),CONST(0x2ec,4))),INT_ZEXT(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)))))))
000a70	FUN_000a70	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x281,4)),CONST(0x29d,4)),LEAF(00e73c:2:short)),CONST(0x2ec,4))),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1))),CONST(0x1,1)))))))
000a70	FUN_000a70	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a70	FUN_000a70	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a70	FUN_000a70	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a70	FUN_000a70	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a70	FUN_000a70	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000a70	FUN_000a70	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000c32	FUN_000c32	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x2f5,4)),CONST(0x311,4)),LEAF(00e73c:2:short)),CONST(0x360,4)),LEAF(00e73c:2:short)),INT_ZEXT(MULTIEQUAL(INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)),LEAF(register:001c:1:byte))))))
000c32	FUN_000c32	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x2f5,4)),CONST(0x311,4)),LEAF(00e73c:2:short)),CONST(0x360,4)),LEAF(00e73c:2:short)),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)),LEAF(register:001c:1:byte)),CONST(0x1,1)))))))
000c32	FUN_000c32	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000c32	FUN_000c32	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000c32	FUN_000c32	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000c32	FUN_000c32	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000c32	FUN_000c32	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000c32	FUN_000c32	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
000db0	FUN_000db0	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x29f,4)),CONST(0x2bb,4)),LEAF(00e73c:2:short)),CONST(0x30a,4))),INT_ZEXT(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1)))))))
000db0	FUN_000db0	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(LEAF(00e73c:2:short),INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0x29f,4)),CONST(0x2bb,4)),LEAF(00e73c:2:short)),CONST(0x30a,4))),INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(LEAF(register:001c:1:byte),INT_ADD(LEAF(register:001c:1:byte),CONST(0x2,1))),CONST(0x1,1)))))))
000db0	FUN_000db0	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000db0	FUN_000db0	004280	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000db0	FUN_000db0	00428a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000db0	FUN_000db0	00428c	LOAD	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000db0	FUN_000db0	00430a	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
000db0	FUN_000db0	004310	STORE	CAST(INT_ZEXT(MULTIEQUAL(LEAF(register:0018:2:ushort),MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))))))
0015a6	thunk_FUN_00592e	005924	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(MULTIEQUAL(LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),INT_ADD(LEAF(register:000e:2:ushort),CONST(0x1,2)))))
0015a6	thunk_FUN_00592e	00592a	LOAD	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(MULTIEQUAL(LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),INT_ADD(LEAF(register:000e:2:ushort),CONST(0x1,2)))))
0016ce	thunk_FUN_00592e	005924	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(MULTIEQUAL(LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),INT_ADD(LEAF(register:000e:2:ushort),CONST(0x1,2)))))
0016ce	thunk_FUN_00592e	00592a	LOAD	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(MULTIEQUAL(LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),INT_ADD(LEAF(register:000e:2:ushort),CONST(0x1,2)))))
0017b4	thunk_FUN_00592e	005924	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(MULTIEQUAL(LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),INT_ADD(LEAF(register:000e:2:ushort),CONST(0x1,2)))))
0017b4	thunk_FUN_00592e	00592a	LOAD	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(MULTIEQUAL(LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),LEAF(register:000e:2:ushort),LEAF(register:000e:2:ushort)),INT_ADD(LEAF(register:000e:2:ushort),CONST(0x1,2)))))
0018c8	FUN_0018c8	00195c	LOAD	CAST(INT_ZEXT(INT_ADD(INT_ZEXT(CAST(INT_ADD(MULTIEQUAL(SUBPIECE(INT_RIGHT(INT_LEFT(INT_RIGHT(INT_ADD(LEAF(register:0002:2:short),CONST(0xa55,2)),CONST(0x8,2)),CONST(0xa,4)),CONST(0x8,4)),CONST(0x0,4)),LEAF(00fabd:1:char)),LEAF(00fade:1:byte)))),CONST(0xacf6,2))))
0018c8	FUN_0018c8	001982	LOAD	CAST(INT_ZEXT(INT_ADD(INT_RIGHT(INT_ADD(LEAF(register:0002:2:short),CONST(0xa55,2)),CONST(0x9,4)),CONST(0xad56,2))))
0018c8	FUN_0018c8	001cbe	LOAD	CAST(INT_ZEXT(INT_ADD(INT_MULT(INT_ZEXT(LEAF(00fa80:1:byte)),CONST(0x2,2)),CONST(0xad26,2))))
0018c8	FUN_0018c8	001cc2	LOAD	LOAD(CONST(0x1f1,4),CAST(INT_ZEXT(INT_ADD(INT_MULT(INT_ZEXT(LEAF(00fa80:1:byte)),CONST(0x2,2)),CONST(0xad26,2)))))
0018c8	FUN_0018c8	001cfa	LOAD	PTRADD(MULTIEQUAL(SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfa52,3)),CONST(0x0,4)),SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfa46,3)),CONST(0x0,4))),CONST(0x4,2),CONST(0x1,2))
0018c8	FUN_0018c8	001cfe	STORE	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfa46,3)),CONST(0x0,4)),SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfa52,3)),CONST(0x0,4))),CONST(0xa,2))))
0018c8	FUN_0018c8	001d0e	LOAD	CAST(INT_ZEXT(INT_ADD(INT_ZEXT(INDIRECT(LEAF(00fa80:1:byte),CONST(0x4e2,4))),CONST(0xace4,2))))
0018c8	FUN_0018c8	001d16	STORE	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfa46,3)),CONST(0x0,4)),SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfa52,3)),CONST(0x0,4))),CONST(0x8,2))))
0018c8	FUN_0018c8	001d24	LOAD	CAST(INT_ZEXT(INT_ADD(INT_MULT(INT_ZEXT(LEAF(00fa80:1:byte)),CONST(0x2,2)),CONST(0xad3e,2))))
0018c8	FUN_0018c8	001d2c	LOAD	CAST(INT_ADD(SUBPIECE(PTRSUB(CONST(0x0,3),CONST(0xfb04,3)),CONST(0x0,4)),LOAD(CONST(0x1f1,4),CAST(INT_ZEXT(INT_ADD(INT_MULT(INT_ZEXT(LEAF(00fa80:1:byte)),CONST(0x2,2)),CONST(0xad3e,2)))))))
